level0,level1,level2
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /film/actor/film./film/performance/film /people/person/nationality /people/person/places_lived./people/place_lived/location,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_winner/awards_won./award/award_honor/award_winner /award/award_nominee/award_nominations./award/award_nomination/award /music/performance_role/track_performances./music/track_contribution/role /music/artist/track_contributions./music/track_contribution/role
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /film/actor/film./film/performance/film /people/person/nationality /people/person/places_lived./people/place_lived/location,/award/award_category/winners./award/award_honor/award_winner /award/award_ceremony/awards_presented./award/award_honor/award_winner /music/genre/artists /award/award_category/winners./award/award_honor/ceremony /award/award_category/nominees./award/award_nomination/nominated_for
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /film/actor/film./film/performance/film /people/person/nationality /people/person/places_lived./people/place_lived/location,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /film/actor/film./film/performance/film /award/award_winner/awards_won./award/award_honor/award_winner /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /film/actor/film./film/performance/film /people/person/nationality /people/person/places_lived./people/place_lived/location,/soccer/football_team/current_roster./soccer/football_roster_position/position /soccer/football_team/current_roster./sports/sports_team_roster/position /m/02nzb8 /m/02sdk9v /m/02_j1w
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /film/actor/film./film/performance/film /people/person/nationality /people/person/places_lived./people/place_lived/location,/media_common/netflix_genre/titles /film/film_subject/films /education/field_of_study/students_majoring./education/education/major_field_of_study /education/field_of_study/students_majoring./education/education/student /language/human_language/countries_spoken_in
,/music/record_label/artist /m/08mbj5d /common/topic/webpage./common/webpage/category /m/09c7w0 /base/biblioness/bibs_location/country,/location/location/contains /location/location/adjoin_s./location/adjoining_relationship/adjoins /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics /m/09nqf /location/location/time_zones
,/music/record_label/artist /m/08mbj5d /common/topic/webpage./common/webpage/category /m/09c7w0 /base/biblioness/bibs_location/country,/film/film/genre /film/film/other_crew./film/film_crew_gig/film_crew_role /award/award_winning_work/awards_won./award/award_honor/award /award/award_winning_work/awards_won./award/award_honor/award_winner /film/film/language
,/music/record_label/artist /m/08mbj5d /common/topic/webpage./common/webpage/category /m/09c7w0 /base/biblioness/bibs_location/country,/film/film/release_date_s./film/film_regional_release_date/film_release_region /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country /travel/travel_destination/climate./travel/travel_destination_monthly_climate/month /olympics/olympic_games/sports /military/military_conflict/combatants./military/military_combatant_group/combatants
,/music/record_label/artist /m/08mbj5d /common/topic/webpage./common/webpage/category /m/09c7w0 /base/biblioness/bibs_location/country,/education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/students_graduates./education/education/student /m/09nqf /education/educational_institution/colors /education/educational_institution/school_type
,/music/record_label/artist /m/08mbj5d /common/topic/webpage./common/webpage/category /m/09c7w0 /base/biblioness/bibs_location/country,/music/performance_role/track_performances./music/track_contribution/role /music/performance_role/regular_performances./music/group_membership/role /sports/sports_team/roster./american_football/football_historical_roster_position/position_s /sports/sports_team/roster./american_football/football_roster_position/position /american_football/football_team/current_roster./sports/sports_team_roster/position
