level0,level1,level2
,/film/film/release_date_s./film/film_regional_release_date/film_release_region /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor /award/award_winning_work/awards_won./award/award_honor/award_winner /people/ethnicity/people /tv/tv_program/genre,/film/film/genre /film/film/other_crew./film/film_crew_gig/film_crew_role /film/film/language /award/award_winning_work/awards_won./award/award_honor/award /film/film/country
,/film/film/release_date_s./film/film_regional_release_date/film_release_region /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor /award/award_winning_work/awards_won./award/award_honor/award_winner /people/ethnicity/people /tv/tv_program/genre,/location/location/contains /music/record_label/artist /travel/travel_destination/climate./travel/travel_destination_monthly_climate/month /location/location/adjoin_s./location/adjoining_relationship/adjoins /location/administrative_division/country
,/film/film/release_date_s./film/film_regional_release_date/film_release_region /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor /award/award_winning_work/awards_won./award/award_honor/award_winner /people/ethnicity/people /tv/tv_program/genre,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics /organization/organization_member/member_of./organization/organization_membership/organization /m/09nqf /olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics /location/location/adjoin_s./location/adjoining_relationship/adjoins
,/film/film/release_date_s./film/film_regional_release_date/film_release_region /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor /award/award_winning_work/awards_won./award/award_honor/award_winner /people/ethnicity/people /tv/tv_program/genre,/education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study /m/09nqf /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location /education/educational_institution/colors
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /people/person/nationality /people/person/gender /people/person/places_lived./people/place_lived/location,/film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_nominee/award_nominations./award/award_nomination/nominated_for /base/popstra/celebrity/dated./base/popstra/dated/participant
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /people/person/nationality /people/person/gender /people/person/places_lived./people/place_lived/location,/music/performance_role/track_performances./music/track_contribution/role /music/performance_role/regular_performances./music/group_membership/role /music/genre/artists /music/artist/track_contributions./music/track_contribution/role /music/instrument/instrumentalists
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /people/person/nationality /people/person/gender /people/person/places_lived./people/place_lived/location,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_winner/awards_won./award/award_honor/award_winner /award/award_nominee/award_nominations./award/award_nomination/nominated_for /film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /people/person/nationality /people/person/gender /people/person/places_lived./people/place_lived/location,/award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/winners./award/award_honor/award_winner /award/award_ceremony/awards_presented./award/award_honor/award_winner /award/award_category/winners./award/award_honor/ceremony /award/award_ceremony/awards_presented./award/award_honor/honored_for
,/location/location/contains /food/food/nutrients./food/nutrition_fact/nutrient /media_common/netflix_genre/titles /location/location/adjoin_s./location/adjoining_relationship/adjoins /influence/influence_node/influenced_by,/government/legislative_session/members./government/government_position_held/district_represented /music/genre/artists /government/legislative_session/members./government/government_position_held/legislative_sessions /sports/pro_athlete/teams./sports/sports_team_roster/team /soccer/football_player/current_team./sports/sports_team_roster/team
,/location/location/contains /food/food/nutrients./food/nutrition_fact/nutrient /media_common/netflix_genre/titles /location/location/adjoin_s./location/adjoining_relationship/adjoins /influence/influence_node/influenced_by,/soccer/football_team/current_roster./soccer/football_roster_position/position /soccer/football_team/current_roster./sports/sports_team_roster/position /m/02nzb8 /m/02sdk9v /m/02_j1w
,/location/location/contains /food/food/nutrients./food/nutrition_fact/nutrient /media_common/netflix_genre/titles /location/location/adjoin_s./location/adjoining_relationship/adjoins /influence/influence_node/influenced_by,/award/award_category/winners./award/award_honor/award_winner /award/award_category/winners./award/award_honor/ceremony /education/educational_institution/students_graduates./education/education/major_field_of_study /m/09nqf /education/educational_institution/students_graduates./education/education/student
,/location/location/contains /food/food/nutrients./food/nutrition_fact/nutrient /media_common/netflix_genre/titles /location/location/adjoin_s./location/adjoining_relationship/adjoins /influence/influence_node/influenced_by,/sports/sports_team/roster./american_football/football_roster_position/position /sports/sports_team/roster./american_football/football_historical_roster_position/position_s /american_football/football_team/current_roster./sports/sports_team_roster/position /olympics/olympic_games/sports /sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school
