,node_id,parent_id,level,customers,top_words
0,0,,0,4576,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']"
1,1,0.0,1,1330,"['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']"
2,2,1.0,2,527,"['/music/artist/track_contributions./music/track_contribution/role', ' /music/group_member/membership./music/group_membership/role', ' /people/person/profession', ' /m/0342h', ' /m/09jwl']"
3,7,1.0,2,347,"['/film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /m/09sb52']"
4,10,1.0,2,196,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /tv/tv_producer/programs_produced./tv/tv_producer_term/program', ' /government/politician/government_positions_held./government/government_position_held/basic_title', ' /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office']"
5,14,1.0,2,179,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /base/popstra/celebrity/dated./base/popstra/dated/participant', ' /base/popstra/celebrity/friendship./base/popstra/friendship/participant']"
6,32,1.0,2,6,"['/m/0glbqt', ' /m/01l3mk3', ' /m/016z5x', ' /m/0kr5_', ' /m/01vttb9']"
7,52,1.0,2,22,"['/m/03_3d', ' /m/01kyvx', ' /film/actor/film./film/performance/special_performance_type', ' /m/07dfk', ' /m/02gs6r']"
8,56,1.0,2,11,"['/m/06rmdr', ' /m/027rwmr', ' /m/01d6jf', ' /m/014kkm', ' /m/03y8cbv']"
9,66,1.0,2,3,"['/m/01br2w', ' /m/01gc7', ' /m/0gltv', ' /m/0fvppk', ' /m/02qlg7s']"
10,77,1.0,2,6,"['/m/0jsqk', ' /m/0789_m', ' /m/04tng0', ' /m/06449', ' /m/0267wwv']"
11,78,1.0,2,5,"['/m/014kkm', ' /m/03ksy', ' /m/0789r6', ' /m/0cq8nx', ' /m/047n8xt']"
12,87,1.0,2,6,"['/m/02c98m', ' /m/029cr', ' /m/0bby9p5', ' /m/05kkh', ' /m/0mn8t']"
13,92,1.0,2,6,"['/m/048rn', ' /m/0j80w', ' /m/02xry', ' /m/06yyp', ' /m/05sw5b']"
14,121,1.0,2,5,"['/m/07nnp_', ' /m/05vyk', ' /m/01k5y0', ' /m/0gl3hr', ' /m/02jm9c']"
15,122,1.0,2,8,"['/m/0170yd', ' /m/0q9sg', ' /m/0gn30', ' /m/01771z', ' /m/033rq']"
16,126,1.0,2,3,"['/m/0dsx3f', ' /m/0bh8tgs', ' /m/02hvd', ' /m/03v0vd', ' /m/03f7nt']"
17,3,0.0,1,552,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']"
18,4,3.0,2,470,"['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /people/person/profession', ' /base/popstra/celebrity/friendship./base/popstra/friendship/participant', ' /film/actor/film./film/performance/film']"
19,20,3.0,2,7,"['/m/0gyv0b4', ' /m/03cffvv', ' /m/01xvjb', ' /m/0320fn', ' /m/0d1qmz']"
20,22,3.0,2,7,"['/m/017m2y', ' /m/095l0', ' /m/0342h', ' /m/0t_2', ' /m/035qy']"
21,28,3.0,2,9,"['/m/0b005', ' /m/0534nr', ' /m/01w1ywm', ' /m/014kbl', ' /m/02dwj']"
22,42,3.0,2,18,"['/sports/pro_athlete/teams./sports/sports_team_roster/team', ' /sports/sports_league/teams./sports/sports_league_participation/team', ' /people/person/employment_history./business/employment_tenure/company', ' /m/05tfm', ' /m/05l71']"
23,58,3.0,2,3,"['/m/037lyl', ' /m/0htp', ' /m/020fgy', ' /m/0xmp9', ' /m/01jpmpv']"
24,72,3.0,2,8,"['/m/0ddkf', ' /m/0ddjy', ' /m/06r1k', ' /m/0f3m1', ' /m/02jztz']"
25,83,3.0,2,9,"['/m/04tqtl', ' /m/0dcz8_', ' /m/091z_p', ' /m/02d44q', ' /m/0dc_ms']"
26,88,3.0,2,1,"['/m/0r3wm', ' /m/0249fn', ' /m/0248jb', ' /m/02jm9c', ' /m/02jknp']"
27,112,3.0,2,8,"['/award/award_winning_work/awards_won./award/award_honor/award', ' /award/award_winning_work/awards_won./award/award_honor/award_winner', ' /film/film/other_crew./film/film_crew_gig/film_crew_role', ' /film/film/genre', ' /m/04lhc4']"
28,113,3.0,2,5,"['/m/0m2rv', ' /organization/organization/place_founded', ' /sports/pro_athlete/teams./sports/sports_team_roster/team', ' /m/043tvp3', ' /m/053mhx']"
29,124,3.0,2,4,"['/m/07bcn', ' /m/0dxtg', ' /m/083skw', ' /m/06v9_x', ' /m/0by17xn']"
30,127,3.0,2,3,"['/m/026p4q7', ' /m/01hv3t', ' /m/01hq1', ' /m/01ckcd', ' /m/02jmst']"
31,5,0.0,1,327,"['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']"
32,6,5.0,2,83,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /music/artist/track_contributions./music/track_contribution/role', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /m/0dgskx']"
33,17,5.0,2,73,"['/education/educational_institution/students_graduates./education/education/student', ' /education/educational_institution/school_type', ' /education/educational_institution/campuses', ' /education/educational_institution_campus/educational_institution', ' /organization/organization/headquarters./location/mailing_address/citytown']"
34,30,5.0,2,8,"['/m/0s5cg', ' /m/06vqdf', ' /m/06r1k', ' /m/0bl1_', ' /m/028sgq']"
35,31,5.0,2,12,"['/music/genre/artists', ' /m/0fhp9', ' /m/0h7x', ' /music/genre/parent_genre', ' /dataworld/gardening_hint/split_to']"
36,40,5.0,2,12,"['/m/01hqhm', ' /m/01smm', ' /m/02b6n9', ' /m/02ylg6', ' /m/07l5z']"
37,47,5.0,2,19,"['/m/07g9f', ' /tv/tv_producer/programs_produced./tv/tv_producer_term/program', ' /m/02q5xsx', ' /m/027hnjh', ' /m/01gp_x']"
38,48,5.0,2,8,"['/m/0blpg', ' /m/0h95927', ' /m/029_3', ' /people/deceased_person/place_of_burial', ' /m/0kbf1']"
39,75,5.0,2,11,"['/m/01f85k', ' /m/01914', ' /m/01f8f7', ' /m/033g4d', ' /m/0sf9_']"
40,79,5.0,2,8,"['/m/082scv', ' /m/0pd57', ' /m/0281rp', ' /music/artist/contribution./music/recording_contribution/performance_role', ' /m/03rg2b']"
41,80,5.0,2,12,"['/m/0404j37', ' /m/011ykb', ' /m/0hj6h', ' /m/01c8v0', ' /m/08b8vd']"
42,90,5.0,2,7,"['/m/05b49tt', ' /m/0c_m3', ' /m/0ymc8', ' /m/01j851', ' /m/01nv4h']"
43,91,5.0,2,7,"['/m/01ffx4', ' /m/0233bn', ' /m/08g_jw', ' /m/0415ggl', ' /m/02bxjp']"
44,93,5.0,2,9,"['/m/01934k', ' /m/0bmhn', ' /m/0hv81', ' /m/09949m', ' /m/02l0sf']"
45,95,5.0,2,12,"['/m/05fgr_', ' /m/04j13sx', ' /m/015qsq', ' /m/01ttg5', ' /m/0b90_r']"
46,99,5.0,2,5,"['/m/01n7q', ' /m/0bx0l', ' /m/0qcrj', ' /m/0pd6l', ' /m/03dq9']"
47,104,5.0,2,12,"['/m/087v17', ' /m/01mgw', ' /m/0ncj8', ' /m/0df92l', ' /m/0bby9p5']"
48,105,5.0,2,7,"['/m/02wgbb', ' /m/01yzhn', ' /m/01cvxf', ' /m/03nqnk3', ' /m/0nbrp']"
49,111,5.0,2,7,"['/m/0pd64', ' /m/01pv91', ' /m/0ctw_b', ' /m/05wp1p', ' /m/035yn8']"
50,114,5.0,2,5,"['/m/0y_pg', ' /m/032clf', ' /m/03ywyk', ' /m/0fvr1', ' /m/01q_y0']"
51,119,5.0,2,7,"['/m/01jc6q', ' /m/02fwfb', ' /m/016bx2', ' /m/06y9v', ' /m/0488g']"
52,128,5.0,2,2,"['/m/06r2h', ' /m/0bq0p9', ' /m/01c7y', ' /m/014nq4', ' /m/02jx1']"
53,130,5.0,2,1,"['/american_football/football_team/current_roster./sports/sports_team_roster/position', ' /user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy', ' /education/field_of_study/students_majoring./education/education/major_field_of_study', ' /education/educational_institution_campus/educational_institution', ' /education/educational_institution/students_graduates./education/education/student']"
54,8,0.0,1,790,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']"
55,9,8.0,2,127,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /government/politician/government_positions_held./government/government_position_held/legislative_sessions', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']"
56,13,8.0,2,231,"['/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location', ' /m/09nqf', ' /business/business_operation/industry', ' /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language', ' /award/ranked_item/appears_in_ranked_lists./award/ranking/list']"
